item_id,bin_id,status
PALT-0001,A54,allocated
PALT-0002,A52,allocated
PALT-0003,A51,allocated
PALT-0004,A53,allocated
PALT-0005,A55,allocated
PALT-0006,A56,allocated
PALT-0007,S-01,staged
PALT-0008,A57,allocated
PALT-0009,A58,allocated
PALT-0010,A54,allocated
PALT-0011,A51,allocated
PALT-0012,A52,allocated
PALT-0013,S-02,staged
PALT-0014,A53,allocated
PALT-0015,A55,allocated
PALT-0016,A56,allocated
PALT-0017,S-01,staged
PALT-0018,A57,allocated
PALT-0019,A58,allocated
PALT-0020,A59,allocated
PALT-0021,A60,allocated
PALT-0022,B51,allocated
PALT-0023,B52,allocated
PALT-0024,B53,allocated
PALT-0025,B54,allocated
PALT-0026,B55,allocated
PALT-0027,B56,allocated
PALT-0028,B57,allocated
PALT-0029,B58,allocated
PALT-0030,B59,allocated
PALT-0031,B60,allocated
PALT-0032,C51,allocated
PALT-0033,C52,allocated
PALT-0034,C53,allocated
PALT-0035,C54,allocated
PALT-0036,C55,allocated
PALT-0037,C56,allocated
PALT-0038,C57,allocated
PALT-0039,C58,allocated
PALT-0040,C59,allocated
PALT-0041,C60,allocated
PALT-0042,D51,allocated
PALT-0043,D52,allocated
PALT-0044,D53,allocated
PALT-0045,D54,allocated
PALT-0046,D55,allocated
PALT-0047,D56,allocated
PALT-0048,D57,allocated
PALT-0049,D58,allocated
PALT-0050,D59,allocated
PALT-0051,D60,allocated
PALT-0052,S-03,staged
PALT-0053,S-04,staged
PALT-0054,S-05,staged
PALT-0055,S-06,staged
PALT-0056,S-07,staged
PALT-0057,S-08,staged
PALT-0058,S-09,staged
PALT-0059,S-10,staged
PALT-0060,R-01,received
PALT-0061,R-02,received
PALT-0062,R-03,received
PALT-0063,R-04,received
PALT-0064,R-05,received
PALT-0065,R-06,received
PALT-0066,R-07,received
PALT-0067,R-08,received
PALT-0068,R-09,received
PALT-0069,R-10,received
PALT-0070,Q-01,quality_check
PALT-0071,Q-02,quality_check
PALT-0072,Q-03,quality_check
PALT-0073,Q-04,quality_check
PALT-0074,Q-05,quality_check
PALT-0075,Q-06,quality_check
PALT-0076,Q-07,quality_check
PALT-0077,Q-08,quality_check
PALT-0078,Q-09,quality_check
PALT-0079,Q-10,quality_check
PALT-0080,A51,allocated
PALT-0081,A52,allocated
PALT-0082,A53,allocated
PALT-0083,A54,allocated
PALT-0084,A55,allocated
PALT-0085,A56,allocated
PALT-0086,A57,allocated
PALT-0087,A58,allocated
PALT-0088,A59,allocated
PALT-0089,A60,allocated
PALT-0090,B51,allocated
PALT-0091,B52,allocated
PALT-0092,B53,allocated
PALT-0093,B54,allocated
PALT-0094,B55,allocated
PALT-0095,B56,allocated
PALT-0096,B57,allocated
PALT-0097,B58,allocated
PALT-0098,B59,allocated
PALT-0099,B60,allocated
PALT-0100,C51,allocated